molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1771,MOL001771,lbh_blg_Molecule154_qt.mol2,poriferast-5-en-3beta-ol,36.9139058327,414.790,8.084,1.45001,1.14299,5.066671,1,1,0.75034,0
18,MOL000018,fyp_bz_Molecule.mol2,(+/-)-Isoborneol,86.9841251754,154.280,1.975,1.27192,1.59796,11.3626,1,1,0.05275,0
1843,MOL001843,lbh_blg_Molecule97.mol2,HBA,29.9764362181,122.130,1.322,0.82365,0.62586,,1,2,0.020117,0.42695588
19,MOL000019,fyp_bz_Molecule1.mol2,D-Camphene,34.9792102593,136.260,2.927,1.80598,2.18648,11.2919,0,0,0.039017,0
193,MOL000193,fyp_cz_Molecule98.mol2,(Z)-caryophyllene,30.2907481439,204.390,4.753,1.82425,2.15315,7.997357,0,0,0.089886,0.28498748
197,MOL000197,fyp_dfp_Molecule12.mol2,Myrcene,24.9637600776,136.260,3.688,1.83989,1.97983,,0,0,0.015286,0.37053537
1973,MOL001973,lbh_btw_Molecule2.mol2,Sitosteryl acetate,40.3896416513,456.830,8.463,1.39288,1.11170,6.335462,0,2,0.85102,0.21646683
198,MOL000198,fyp_dfp_Molecule13.mol2,(R)-linalool,39.804300843,154.280,2.735,1.32771,1.36071,6.47726,1,1,0.022686,0.31705615
200,MOL000200,fyp_dfp_Molecule20.mol2,(S)-(+)-alpha-Phellandrene,27.9022997525,136.260,3.254,1.87034,2.19671,,0,0,0.022258,0.29145849
2002,MOL002002,lbh_cby_Molecule.mol2,cis-Carveol,45.6110426342,152.260,2.401,1.38906,1.61591,11.733168,1,1,0.029604,0.274887
201,MOL000201,fyp_dfp_Molecule21.mol2,p-Ocimene,15.0605211386,136.260,3.634,1.85109,1.99228,,0,0,0.015199,0.38736424
202,MOL000202,fyp_dfp_Molecule22.mol2,Moslene,33.01642148,136.260,3.449,1.88393,2.04506,11.0828,0,0,0.02224,0.27275583
2031,MOL002031,lbh_cby_Molecule54.mol2,toluene,42.5804257975,92.150,2.316,1.86083,2.11981,11.9524,0,0,0.00997,0.42216787
204,MOL000204,fyp_dfp_Molecule26.mol2,-cis-.beta.-Elemene diastereomer,28.6213424522,204.390,4.788,1.85187,2.08994,,0,0,0.060524,0.33425769
2040,MOL002040,lbh_cby_Molecule86.mol2,"(1S,4R)-fenchone",72.6390239599,152.260,2.357,1.35463,1.73513,11.2472,0,1,0.050709,0.29413137
2119,MOL002119,lbh_cx_Molecule13.mol2,Artemisia triene,42.0997968326,136.260,3.243,1.84243,2.06536,11.163476,0,0,0.018048,0.37190038
2128,MOL002128,lbh_cx_Molecule14.mol2,"1,3,8-p-Menthatriene",35.8574994148,134.240,3.253,1.86021,2.06247,11.2539,0,0,0.022561,0.33680087
2153,MOL002153,lbh_cx_Molecule182.mol2,"1H-Cycloprop(e)azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR-(1aalpha,4aalpha,7beta,7abeta,7balpha))-",82.328461561,220.390,3.007,1.37119,1.48644,12.043468,1,1,0.12209,0.27701429
2198,MOL002198,lbh_cx_Molecule81.mol2,Heptan,41.7993954,100.230,3.565,1.77094,2.04313,10.3614,0,0,0.0049914,0.20089389
234,MOL000234,fyp_dk_Molecule138.mol2,L-Limonen,38.0934230648,136.260,3.503,1.82615,2.13236,11.637276,0,0,0.022306,0.29216984
2361,MOL002361,lbh_fxy_Molecule11.mol2,Terragon,36.5897969975,148.220,2.822,1.72489,1.83114,1.787879,0,1,0.027965,0.34425431
2363,MOL002363,lbh_fxy_Molecule14.mol2,beta-Ionone,20.6324119306,192.330,3.215,1.41270,1.47147,,0,1,0.054165,0.30197352
24,MOL000024,fyp_bz_Molecule14.mol2,alpha-humulene,22.9768241266,204.390,5.035,1.87788,2.07698,,0,0,0.061124,0
2526,MOL002526,lbh_glj_Molecule100.mol2,3691-11-0,23.6559285618,204.390,4.993,1.85599,2.04812,,0,0,0.072163,0.25492966
254,MOL000254,fyp_dk_Molecule173.mol2,eugenol,56.2419020882,164.220,2.554,1.35303,1.31553,0.915886,1,2,0.036518,0.31635386
2547,MOL002547,lbh_glj_Molecule26.mol2,21987_FLUKA,40.9213544568,136.260,2.678,1.84078,2.14388,11.215192,0,0,0.042641,0.25826055
2576,MOL002576,lbh_glj_Molecule89.mol2,GBL,76.9059604017,86.100,0.277,1.02775,1.43135,11.4528,0,2,0.0071309,0.27161607
262,MOL000262,fyp_dk_Molecule186.mol2,"(1R,4S)-1,7,7-trimethylbicyclo[2.2.1]hept-2-ene",39.618679837,136.260,2.633,1.78731,2.14215,11.2846,0,0,0.043504,0.25121498
264,MOL000264,fyp_dk_Molecule188.mol2,Tereben,29.6244298027,136.260,3.643,1.85988,2.10791,,0,0,0.022251,0.28012544
268,MOL000268,fyp_dk_Molecule194.mol2,"(1S,5S)-1-isopropyl-4-methylenebicyclo[3.1.0]hexane",46.2051090955,136.260,2.927,1.83045,2.18335,11.467492,0,0,0.043544,0.3054533
2697,MOL002697,lbh_hh_Molecule137.mol2,junipene,44.0737496062,204.390,4.177,1.82262,2.14244,12.197592,0,0,0.10826,0.24714732
270,MOL000270,fyp_dk_Molecule197.mol2,CHEBI:7,45.1980814037,136.260,2.873,1.84284,2.15102,11.440792,0,0,0.04265,0.26532206
271,MOL000271,fyp_dk_Molecule198.mol2,l-carvone,49.469782393,150.240,2.361,1.35036,1.64609,11.752552,0,1,0.02998,0.33082664
2836,MOL002836,lbh_hj_Molecule27.mol2,anisaldehyde,21.5377335566,136.160,1.573,1.12006,1.15157,,0,2,0.024497,0.33056772
2972,MOL002972,lbh_jx_Molecule44.mol2,"(4S)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene",20.3015875341,204.390,5.329,1.89373,1.98881,,0,0,0.055521,0.28443125
3047,MOL003047,lbh_jyh_Molecule173.mol2,[(1S)-endo]-(-)-Borneol,83.5449108643,154.280,1.975,1.21797,1.42823,11.3329,1,1,0.05275,0.25373396
3180,MOL003180,lbh_lg_Molecule9.mol2,widdrene,53.8059123713,204.390,4.078,1.84978,2.19078,-1.564236,0,0,0.11671,0.25026447
34,MOL000034,fyp_bz_Molecule23.mol2,"2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol",19.0331206245,222.410,3.701,1.37343,1.46215,,1,1,0.072534,0
3489,MOL003489,lbh_nstg_Molecule1.mol2,(E)-13-Octadecenal,29.0114877094,266.520,6.883,1.51865,1.37610,,0,1,0.1175,0.19079532
3534,MOL003534,lbh_rg_Molecule43.mol2,CADINENE,17.118275043,204.390,4.745,1.88268,2.06170,,0,0,0.077374,0.25391451
3537,MOL003537,lbh_rg_Molecule73.mol2,T-Muurolol,30.4144522899,222.410,3.779,1.35689,1.43915,7.111451,1,1,0.093121,0.23179819
3573,MOL003573,lbh_scp_Molecule69.mol2,calacorene,16.1972020583,200.350,4.791,1.89243,1.99323,,0,0,0.078209,0
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575
